Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C2, C3",C_0402,3,100nF,C1525
"J1, J2",PinHeader_2x06_P2.54mm_Vertical,2,Conn_02x06_Matched,C5383091
"R1, R2, R3, R36, R37, R38, R39, R4, R40, R41, R42, R43, R5, R6, R7, R8",R_0402,16,1kΩ,C11702
"R10, R11, R18, R19, R20, R21, R22, R23, R24",R_0402,9,20kΩ,C25765
"R12, R13, R14, R15, R16, R17, R26, R27, R28, R29, R30, R31, R32, R33, R9",R_0402,15,10kΩ,C25744
"R25, R46",R_0402,2,100Ω,C25076
"R35, R45",R_0402,2,0Ω,C17168
"U1, U2",SOIC127P600X175-14N,2,LM339LVDR,C22427665
"U10, U6, U8, U9",CONN1_1514-2_KEY,4,RH-5000,C5277086
U3,SOT-23-5,1,OPA843xDBV,C7463385
"U5, U7",BNC-TH_L12.0-W12.0,2,HL-BNC-KHDA,C19712152
