Designator,Mid X,Mid Y,Rotation,Layer
C1,38.7125,-64.15,0.0,top
C10,54.14375,-69.4,270.0,top
C2,60.15,-49.5,0.0,top
C3,60.15,-59.85,0.0,top
C5,38.385,-62.05,270.0,top
C9,39.455,-62.06,270.0,top
J1,30.28,-51.07,0.0,top
J2,30.28,-73.93,0.0,top
R1,60.65,-47.675,270.0,top
R10,46.780378,-68.352636,90.0,top
R11,45.140378,-68.852636,0.0,top
R12,46.780378,-72.282636,270.0,top
R13,46.780378,-74.242636,270.0,top
R14,46.780378,-76.202636,270.0,top
R15,46.780378,-78.172636,270.0,top
R16,46.780378,-80.142636,270.0,top
R17,46.770378,-82.102636,270.0,top
R18,45.140378,-70.822636,0.0,top
R19,45.140378,-72.782636,0.0,top
R2,59.65,-47.675,90.0,top
R20,45.140378,-74.742636,0.0,top
R21,45.140378,-76.702636,0.0,top
R22,45.140378,-78.672636,0.0,top
R23,45.140378,-80.642636,0.0,top
R24,45.140378,-82.602636,0.0,top
R25,49.70625,-72.2,180.0,top
R26,47.02,-44.74,180.0,top
R27,47.02,-46.02,180.0,top
R28,47.02,-47.29,180.0,top
R29,47.01,-48.56,180.0,top
R3,50.975,-46.375,90.0,top
R30,47.02,-49.82,180.0,top
R31,47.02,-51.07,180.0,top
R32,47.02,-52.37,180.0,top
R33,47.02,-53.62,180.0,top
R34,40.595,-62.065,270.0,top
R35,51.62875,-72.21,180.0,top
R36,44.87,-44.745,180.0,top
R37,44.87,-46.015,180.0,top
R38,44.87,-47.285,180.0,top
R39,44.87,-48.555,180.0,top
R4,59.675,-45.05,90.0,top
R40,44.87,-49.825,180.0,top
R41,44.87,-51.095,180.0,top
R42,44.87,-52.365,180.0,top
R43,44.87,-53.635,180.0,top
R45,49.625,-50.85,135.0,top
R46,50.64375,-67.375,0.0,top
R5,60.8,-58.3,270.0,top
R6,59.775,-58.3,90.0,top
R7,50.6,-56.8,90.0,top
R8,50.6,-54.1,90.0,top
R9,46.780378,-70.322636,270.0,top
U1,55.2925,-48.225,180.0,top
U10,62.0,-37.0,0.0,top
U2,55.3,-58.575,180.0,top
U3,51.40625,-69.85,180.0,top
U4,35.6125,-62.35,180.0,top
U5,34.0,-34.0,0.0,top
U6,54.0,-28.0,0.0,top
U7,34.0,-91.0,0.0,top
U8,54.0,-97.0,0.0,top
U9,62.0,-88.0,0.0,top
